Settings: {"threads":4,"sourcedir":"C:\\Users\\pfeeney\\Desktop\\test","destdir":"C:\\Users\\pfeeney\\Desktop\\dest","nowriteoutput":false,"iterations":200,"conversion_host":"http://localhost:19060/PCCIS","min_avail":null,"workfile_host":"http://localhost:19020/PCCIS","workfile_exp":"1d","dest_format":"png,jpeg,svg,pdf,tiff","dest_opts_file":"C:/Users/pfeeney/Desktop/opts.json","filter":".*"}
File,Duration,Success
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.013,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"3lk7_JIdX80e8uVdvzxqQQ"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\100e.dwg,0.134,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.793,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.345,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.351,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.126,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.126,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.454,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.901,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.768,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,1.973,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.57,True,OK
C:\Users\pfeeney\Desktop\test\mercury.png,0.13,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.786,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.389,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.583,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.383,True,OK
C:\Users\pfeeney\Desktop\test\100e.dwg,2.883,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.59,True,OK
C:\Users\pfeeney\Desktop\test\r04.msg,0.908,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.732,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.015,False,Error: Failed to create Conversion Process. HTTP: 480 - {"input":{"src":{"fileId":"0rMptOThhobESLGjansUhA"},"dest":{"format":"pdf","pdfOptions":{"forceOneFilePerPage":false}}},"minSecondsAvailable":86400,"errorCode":"UnsupportedConversion","errorDetails":{"in":"body","at":"input.dest.format","expected":{"enum":["svg","png","jpeg","tiff"]}}}
C:\Users\pfeeney\Desktop\test\r04.msg,0.584,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.703,True,OK
C:\Users\pfeeney\Desktop\test\Sample-PDF.pdf,0.358,True,OK
C:\Users\pfeeney\Desktop\test\Sample-Excel2003.xls,0.355,True,OK
